account,totalFilled,pnl
YMS40265037,0,0
SLM3051858,0,0
DFS32070032,0,0
BNY15206355,18497,1240589
WTB31701925,0,0
RJC1506639,0,0
SMS63054562,0,0
WAS96806162,0,0
LMS97985787,17891,629170
MI49786792,0,0
YAT42897189,0,0
MTB43347528,0,0
HFS5855862,0,0
GAD33364106,0,0
TMJ58033359,0,0
ES31557023,0,0
CSS53260466,0,0
BS18428791,148818,-843387
MSB20293942,18472,1935408
TAR66694903,0,0
TMB31982902,0,0
SOB90062537,0,0
SMS45160101,0,0
TAI3187375,154549,37289
KAB58500582,18364,1667908
GAE82143342,17786,1413033
GSS58562754,0,0
ISH28366806,19339,1689484
WB61572179,19109,983277
WPL24011443,0,0
RMB13426919,0,0
YHS34684248,0,0
CAR69279438,0,0
YAC63772939,126377,123532
FMB2450883,0,0
EAP81330599,0,0
MFB77592312,19417,1331664
LMB36124240,0,0
SB4049134,0,0
FEB33931374,0,0
HAT29634749,0,0
MDB93649081,0,0
SLB18754381,0,0
PFB91376629,0,0
PAM79756533,0,0
TB22468717,0,0
YKS23843495,0,0
BM18500235,0,0
STB33650109,0,0
KAS17674415,0,0
CAR51509298,0,0
SRB7998857,0,0
WOB61825872,0,0
RES81627029,18935,971999
REB93756922,0,0
RB36168203,0,0
DBS21749940,0,0
BLS5131202,0,0
SMS25743804,18668,1303741
SB85585572,0,0
PMB45505057,19775,936187
HAP83843422,18880,1353643
BAR1945966,0,0
YAT8938196,0,0
YAB9743284,0,0
KKS35343153,0,0
FFB70272605,0,0
CAC96729857,0,0
CAR36907254,0,0
BM47106134,0,0
EAG2294027,0,0
BP21315325,0,0
LTB85230115,16806,456110
EDB21185079,18930,1335301
RAH34304783,18389,1698925
TSB7959247,0,0
SS26323098,0,0
HB5731392,18626,1905911
MRB54361889,0,0
FMB34479055,19288,1890591
RMB73022728,14061,3009725
KAM85259022,0,0
BBS21700051,0,0
MAJ77014385,0,0
HB86586894,0,0
HB70693597,19291,1639450
RAH91138310,0,0
MSB26641969,18557,722613
FWB78923232,19049,2193212
FB45230661,17944,637656
TLB91721204,0,0
AHH30681495,0,0
HAS78993090,0,0
MDB41497122,0,0
FMS10273109,19600,1433044
JAI26120308,17406,1077909
BLS74075483,18341,902167
MLB1265883,0,0
BPB20104518,0,0
WYS98338584,0,0
